Array size[R][C]: [22][22]
   [R]   	0   	1   	2   	3   	4   	5   	6   	7   	8   	9   	10   	11   	12   	13   	14   	15   	16   	17   	18   	19   	20   	21   	
   [0]   	0   	0   	0   	0   	0   	0   	0   	0   	0   	0   	0   	0   	0   	0   	0   	0   	0   	0   	0   	0   	0   	0   	
   [1]   	0   	22   	44   	66   	88   	110   	132   	154   	176   	198   	220   	242   	264   	286   	308   	330   	352   	374   	396   	418   	440   	462   	
   [2]   	0   	44   	88   	132   	176   	220   	264   	308   	352   	396   	440   	484   	528   	572   	616   	660   	704   	748   	792   	836   	880   	924   	
   [3]   	0   	66   	132   	198   	264   	330   	396   	462   	528   	594   	660   	726   	792   	858   	924   	990   	1056   	1122   	1188   	1254   	1320   	1386   	
   [4]   	0   	88   	176   	264   	352   	440   	528   	616   	704   	792   	880   	968   	1056   	1144   	1232   	1320   	1408   	1496   	1584   	1672   	1760   	1848   	
   [5]   	0   	110   	220   	330   	440   	550   	660   	770   	880   	990   	1100   	1210   	1320   	1430   	1540   	1650   	1760   	1870   	1980   	2090   	2200   	2310   	
   [6]   	0   	132   	264   	396   	528   	660   	792   	924   	1056   	1188   	1320   	1452   	1584   	1716   	1848   	1980   	2112   	2244   	2376   	2508   	2640   	2772   	
   [7]   	0   	154   	308   	462   	616   	770   	924   	1078   	1232   	1386   	1540   	1694   	1848   	2002   	2156   	2310   	2464   	2618   	2772   	2926   	3080   	3234   	
   [8]   	0   	176   	352   	528   	704   	880   	1056   	1232   	1408   	1584   	1760   	1936   	2112   	2288   	2464   	2640   	2816   	2992   	3168   	3344   	3520   	3696   	
   [9]   	0   	198   	396   	594   	792   	990   	1188   	1386   	1584   	1782   	1980   	2178   	2376   	2574   	2772   	2970   	3168   	3366   	3564   	3762   	3960   	4158   	
   [10]   	0   	220   	440   	660   	880   	1100   	1320   	1540   	1760   	1980   	2200   	2420   	2640   	2860   	3080   	3300   	3520   	3740   	3960   	4180   	4400   	4620   	
   [11]   	0   	242   	484   	726   	968   	1210   	1452   	1694   	1936   	2178   	2420   	2662   	2904   	3146   	3388   	3630   	3872   	4114   	4356   	4598   	4840   	5082   	
   [12]   	0   	264   	528   	792   	1056   	1320   	1584   	1848   	2112   	2376   	2640   	2904   	3168   	3432   	3696   	3960   	4224   	4488   	4752   	5016   	5280   	5544   	
   [13]   	0   	286   	572   	858   	1144   	1430   	1716   	2002   	2288   	2574   	2860   	3146   	3432   	3718   	4004   	4290   	4576   	4862   	5148   	5434   	5720   	6006   	
   [14]   	0   	308   	616   	924   	1232   	1540   	1848   	2156   	2464   	2772   	3080   	3388   	3696   	4004   	4312   	4620   	4928   	5236   	5544   	5852   	6160   	6468   	
   [15]   	0   	330   	660   	990   	1320   	1650   	1980   	2310   	2640   	2970   	3300   	3630   	3960   	4290   	4620   	4950   	5280   	5610   	5940   	6270   	6600   	6930   	
   [16]   	0   	352   	704   	1056   	1408   	1760   	2112   	2464   	2816   	3168   	3520   	3872   	4224   	4576   	4928   	5280   	5632   	5984   	6336   	6688   	7040   	7392   	
   [17]   	0   	374   	748   	1122   	1496   	1870   	2244   	2618   	2992   	3366   	3740   	4114   	4488   	4862   	5236   	5610   	5984   	6358   	6732   	7106   	7480   	7854   	
   [18]   	0   	396   	792   	1188   	1584   	1980   	2376   	2772   	3168   	3564   	3960   	4356   	4752   	5148   	5544   	5940   	6336   	6732   	7128   	7524   	7920   	8316   	
   [19]   	0   	418   	836   	1254   	1672   	2090   	2508   	2926   	3344   	3762   	4180   	4598   	5016   	5434   	5852   	6270   	6688   	7106   	7524   	7942   	8360   	8778   	
   [20]   	0   	440   	880   	1320   	1760   	2200   	2640   	3080   	3520   	3960   	4400   	4840   	5280   	5720   	6160   	6600   	7040   	7480   	7920   	8360   	8800   	9240   	
   [21]   	0   	462   	924   	1386   	1848   	2310   	2772   	3234   	3696   	4158   	4620   	5082   	5544   	6006   	6468   	6930   	7392   	7854   	8316   	8778   	9240   	9702   	
--- END Array debug ---
